Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
02:44.0,71.993,63.931
02:45.0,80.789,64.194
02:46.0,59.552,64.42
02:47.0,78.355,64.729
02:48.0,84.129,65.006
02:49.0,81.186,65.24
02:50.0,82.342,65.481
02:51.0,88.324,65.712
02:52.0,90.443,65.995
02:53.0,81.025,66.235
02:54.0,77.04,66.485
02:55.0,80.821,66.747
02:56.0,76.49,66.951
02:57.0,73.764,67.164
02:58.0,87.858,67.577
02:59.0,97.301,66.334
03:00.0,94.453,66.729
03:01.0,99.328,67.466
03:02.0,96.476,67.774
03:03.0,96.801,68.167
03:04.0,99.328,68.398
03:05.0,95.644,68.823
03:06.0,96.121,69.007
